id_code,start_time,end_time,duration,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
3046,25/03/2022 12:01,25/03/2022 12:07,6,I agree,Student,[Decline to Answer],Female,Leaflet,1994,Permanent resident in the UK,Anguilla,Limited working proficiency,[Decline to Answer],[Decline to Answer],Other,London,Employed part-time,Prefer not to say,"£20, 001 to £30, 000","£20, 001 to £30, 000",[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer]
3061,31/05/2022 20:53,31/05/2022 20:55,2,I agree,Neither,BARTO11503,Female,Other,1995,Neither,Lithuania,Native / bilingual proficiency,Lithuanian,"Single, not living with partner",Other,Not from the UK,Employed full-time,No,"£20, 001 to £30, 000","Above £50, 001",Online and lab based,NA,Not a student,Not an Essex university student
3073,06/04/2022 16:01,06/04/2022 16:04,3,I agree,Neither,NA,Male,From a friend,1990,Neither,India,Native / bilingual proficiency,English,Married,Hinduism,London,Employed full-time,Yes,"£10, 001 to £20, 000","£10, 001 to £20, 000",Only online,NA,Not a student,Not an Essex university student
3082,27/03/2022 19:13,27/03/2022 19:26,13,I agree,Neither,[Decline to Answer],Female,Other,1994,Neither,United Kingdom,Native / bilingual proficiency,English,"Single, not living with partner",Christianity,East Midlands,Employed full-time,No,"£40, 001 to £50, 000","£40, 001 to £50, 000",Only online,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3097,16/05/2022 20:54,16/05/2022 20:55,1,I agree,Neither,n/a,Female,Other,1991,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",Hinduism,East Midlands,Employed full-time,No,"£30, 001 to £40, 000","£30, 001 to £40, 000",Only online,[Decline to Answer],Not a student,[Decline to Answer]
3103,21/04/2022 17:14,21/04/2022 17:16,2,I agree,Student,SAPUI95004,Female,Mailout,2000,Neither,Hong Kong,Native / bilingual proficiency,English,"Single, not living with partner",No religion,Not from the UK,Employed part-time,No,[Decline to Answer],[Decline to Answer],[Decline to Answer],2019,Undergraduate Degree (e.g. BA/BSc),[Decline to Answer]
3106,27/04/2022 15:39,27/04/2022 15:44,5,I agree,Student,Armst84005,Male,From a friend,1990,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,No religion,South East,Not currently employed,No,"Below £10, 00","£30, 001 to £40, 000",Online and lab based,2020,Undergraduate Degree (e.g. BA/BSc),Computer Science & Electronic Engineering
3139,22/04/2022 8:42,22/04/2022 8:48,6,I agree,Student,POLLA24907,Female,Leaflet,1999,Neither,Spain,Native / bilingual proficiency,Spanish,"Single, not living with partner",No religion,East of England,Employed part-time,No,[Decline to Answer],[Decline to Answer],Online and lab based,2020,Undergraduate Degree (e.g. BA/BSc),Psychology
3142,18/07/2022 15:49,18/07/2022 15:52,3,I agree,Student,LAWRE40106,Female,Mailout,1991,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",No religion,East of England,Employed full-time,No,"£30, 001 to £40, 000","Above £50, 001",Only online,2020,Master's Degree (e.g. MA/MSc/MRes),Essex Business School
3148,26/03/2022 10:30,26/03/2022 10:32,2,I agree,Neither,[Decline to Answer],Female,[Decline to Answer],1994,Neither,Germany,Professional working proficiency,German,"Single, living with partner",Christianity,Not from the UK,Employed part-time,No,[Decline to Answer],[Decline to Answer],Only online,[Decline to Answer],Master's Degree (e.g. MA/MSc/MRes),Not an Essex university student
3160,26/03/2022 20:45,26/03/2022 20:49,4,I agree,Student,MORAL16804,Female,Mailout,1998,Neither,Argentina,Professional working proficiency,Spanish,"Single, not living with partner",No religion,East Midlands,Not currently employed,No,[Decline to Answer],[Decline to Answer],Online and lab based,2021,Master's Degree (e.g. MA/MSc/MRes),Economics
3181,28/03/2022 13:07,28/03/2022 13:09,2,I agree,Neither,[Decline to Answer],Female,Other,1977,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,No religion,East of England,Employed part-time,Yes,"Below £10, 00","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3187,25/03/2022 18:29,25/03/2022 18:35,6,I agree,Neither,[Decline to Answer],Male,Other,1955,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,East of England,Retired,No,"£10, 001 to £20, 000","£20, 001 to £30, 000",Only lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3190,25/03/2022 15:18,25/03/2022 15:21,3,I agree,Neither,[Decline to Answer],Female,Other,1980,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",Christianity,East of England,Employed full-time,Yes,"£10, 001 to £20, 000","£20, 001 to £30, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3193,25/03/2022 17:33,25/03/2022 17:35,2,I agree,Staff member,[Decline to Answer],Female,Other,1993,British citizen,United Kingdom,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Employed full-time,No,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3196,25/03/2022 15:44,25/03/2022 15:51,7,I agree,Neither,BINER98005,Male,Other,1970,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Buddhism,East of England,Employed part-time,Yes,"Below £10, 00","£30, 001 to £40, 000",Online and lab based,1988,Not a student,Not an Essex university student
3202,27/03/2022 11:45,27/03/2022 11:51,6,I agree,Neither,[Decline to Answer],Female,Other,1958,British citizen,United Kingdom,Native / bilingual proficiency,English,Divorced,Christianity,East of England,Employed part-time,Yes,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],Not a student,[Decline to Answer]
3205,25/03/2022 21:47,25/03/2022 21:51,4,I agree,Neither,[Decline to Answer],Female,Other,1982,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",No religion,East of England,Not currently employed,Yes,"Below £10, 00","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3211,25/03/2022 15:55,25/03/2022 15:59,4,I agree,Neither,[Decline to Answer],Male,Other,1969,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,East of England,Employed full-time,Yes,"£20, 001 to £30, 000","£40, 001 to £50, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3214,28/03/2022 19:53,28/03/2022 19:58,5,I agree,Neither,nil,Male,Other,1973,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Married,Christianity,East of England,Employed full-time,Yes,"£20, 001 to £30, 000","Above £50, 001",Online and lab based,[Decline to Answer],[Decline to Answer],Not an Essex university student
3226,10/05/2022 13:30,10/05/2022 13:34,4,I agree,Neither,[Decline to Answer],Female,From a friend,1966,British citizen,United Kingdom,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,[Decline to Answer],Yes,"Below £10, 00","Below £10, 00",Only online,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3229,25/03/2022 17:16,25/03/2022 17:20,4,I agree,Neither,[Decline to Answer],Female,Leaflet,1954,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,Divorced,Christianity,East of England,Retired,Yes,"£10, 001 to £20, 000",[Decline to Answer],Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3250,06/04/2022 10:20,06/04/2022 10:23,3,I agree,Neither,[Decline to Answer],Female,Other,1949,British citizen,Ireland,Native / bilingual proficiency,English,"Single, living with partner",No religion,South East,Retired,Yes,[Decline to Answer],[Decline to Answer],Only lab based,[Decline to Answer],Not a student,Not an Essex university student
3277,06/04/2022 18:28,06/04/2022 18:31,3,I agree,Student,VELLA96805,Male,From a friend,1998,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Employed part-time,No,"Below £10, 00","Below £10, 00",Online and lab based,2016,Master's Degree (e.g. MA/MSc/MRes),Government
3301,25/03/2022 17:04,25/03/2022 17:07,3,I agree,Student,YIMKA10703,Female,Fresher's Fair,1997,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,London,Employed part-time,No,"Below £10, 00","Below £10, 00",Online and lab based,2017,Undergraduate Degree (e.g. BA/BSc),Mathematical Sciences
3355,30/03/2022 13:22,30/03/2022 13:27,5,I agree,Student,SMITH16127,Female,Fresher's Fair,1981,Neither,United States,Native / bilingual proficiency,English,"Single, not living with partner",No religion,Not from the UK,Not currently employed,No,"Below £10, 00","Below £10, 00",Online and lab based,2017,PhD,Language & Linguistics
3403,29/03/2022 7:52,29/03/2022 7:55,3,I agree,Staff member,[Decline to Answer],Male,Mailout,1992,British citizen,Turkey,Full professional proficiency,Turkish,"Single, living with partner",Islam,London,Employed full-time,No,"£10, 001 to £20, 000","£20, 001 to £30, 000",Online and lab based,[Decline to Answer],[Decline to Answer],[Decline to Answer]
3421,24/05/2022 19:52,24/05/2022 19:59,7,I agree,Neither,[Decline to Answer],Male,Fresher's Fair,n/a,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",Christianity,East of England,Employed full-time,No,[Decline to Answer],[Decline to Answer],[Decline to Answer],[Decline to Answer],Not a student,Not an Essex university student
3433,26/03/2022 21:26,26/03/2022 21:30,4,I agree,Neither,[Decline to Answer],Male,Other,1978,Permanent resident in the UK,United Kingdom,[Decline to Answer],English,Married,No religion,East of England,[Decline to Answer],Yes,[Decline to Answer],[Decline to Answer],Online and lab based,[Decline to Answer],Not a student,[Decline to Answer]
3436,13/04/2022 10:58,13/04/2022 11:06,8,I agree,Staff member,waddo20809,Female,From a friend,1988,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",Christianity,East of England,Employed full-time,No,"£30, 001 to £40, 000","£30, 001 to £40, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3439,25/03/2022 16:02,25/03/2022 16:05,3,I agree,Neither,[Decline to Answer],Female,Mailout,1979,British citizen,I don't hold another citizenship,Full professional proficiency,English,Married,Christianity,East of England,Not currently employed,Yes,"Below £10, 00","£10, 001 to £20, 000",Online and lab based,[Decline to Answer],Not a student,Not an Essex university student
3475,25/03/2022 15:39,25/03/2022 15:42,3,I agree,Student,[Decline to Answer],Male,Mailout,1999,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, not living with partner",No religion,East of England,Not currently employed,No,"Below £10, 00","£30, 001 to £40, 000",Online and lab based,2018,Undergraduate Degree (e.g. BA/BSc),Psychology
3556,25/03/2022 15:37,25/03/2022 15:39,2,I agree,Student,CONNE50901,Male,Mailout,1999,British citizen,I don't hold another citizenship,Native / bilingual proficiency,English,"Single, living with partner",No religion,East of England,Not currently employed,No,"Below £10, 00","Above £50, 001",Online and lab based,2018,Master's Degree (e.g. MA/MSc/MRes),Biological Sciences
3574,29/03/2022 21:03,29/03/2022 21:05,2,I agree,Student,[Decline to Answer],Prefer not to say,Other,1999,British citizen,Malta,Native / bilingual proficiency,English,"Single, not living with partner",Christianity,South East,Employed part-time,No,"Below £10, 00",[Decline to Answer],Online and lab based,2018,Master's Degree (e.g. MA/MSc/MRes),Government
