signup_id,timeslot_date,credit_status,experiment_name,signup_date,link_click_date
1072,5/25/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 9:30:54 AM,
1074,5/24/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:14:37 AM,
1075,5/24/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:15:30 AM,
1076,5/24/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:15:57 AM,
1077,5/24/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:16:32 AM,
1079,5/25/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:18:13 AM,
1080,5/25/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:20:26 AM,
1081,5/25/2022 2:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:21:15 AM,
1082,5/25/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:22:00 AM,
1083,5/24/2022 2:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:22:29 AM,
1084,5/25/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:23:51 AM,
1087,5/24/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:26:46 AM,
1088,5/24/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:27:15 AM,
1089,5/24/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:27:50 AM,
1090,5/24/2022 10:00:00 AM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:29:26 AM,
1092,5/24/2022 2:00:00 PM,N,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:31:10 AM,
1093,5/24/2022 2:00:00 PM,N,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:32:03 AM,
1095,5/24/2022 10:00:00 AM,N,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:33:28 AM,
1096,5/24/2022 12:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:34:59 AM,
1097,5/24/2022 2:00:00 PM,G,"Buy Now, Pay Later (BROOKS-0422)",5/20/2022 10:35:59 AM,
