experiment_id,experiment_name,short_description,long_description,private_comments,restrictions,duration_minutes,preparation,credits,exp_pay_type,valid,previously_approved,active_flag,exp_signup_email,auto_credit_enable,has_prereqs,is_disqualifier,prereq_any,double_signup_flag,signup_password,web_flag,survey_flag,survey_anon_flag,experiment_url,irb_code,irb_expiration_date,is_multipart_experiment,multipart_number,part1_experiment_id,multipart_min_days,multipart_max_days,total_parts,multipart_exact,usage_limit,signup_limit,cancel_limit,creation_date,age_minimum,age_maximum
2,Test Study 2,,,,None,60,,0,M,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,1/23/22 18:12,0,200
4,HUGHES_KHAN_MENGEL - MENGEL1219A,,,,None,90,,0,M,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,4/2/22 16:46,0,200
5,MENGEL1219B,,,,None,90,,0,M,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,4/2/22 17:30,0,200
6,Public Opinion Study (VANCOPPEN-1121),,,,None,60,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,4/20/22 14:11,0,200
9,Interactions of first and second language (SOTOGARCIA-0122) pilot,,,,,60,,0,M,1,1,0,0,0,0,1,0,0,,0,0,0,,ETH2021-2041,,0,1,,0,0,1,0,0,24,24,5/5/22 15:15,0,200
10,"Buy Now, Pay Later (BROOKS-0422)",,,,None,60,,0,M,1,1,0,0,0,0,0,0,0,,0,0,0,,ETH2122-0684,,0,1,,0,0,1,0,0,24,24,5/5/22 15:39,0,200
14,Language attitudes and dialect identification in England (COLE-0422),,,,"Must be from England, aged 35 years or younger and has lived in any part(s) of England for at least eight years between the ages of 3 and 18.",60,,0,M,1,1,1,0,0,0,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,5/9/22 21:08,18,35
15,Simple Voting - DIANAT-0222,,,,None,60,,0,M,0,0,0,0,0,0,1,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,5/10/22 0:13,0,200
16,Voting Experiment (DIANAT-0222),,,,None,60,,0,M,1,1,1,0,0,1,0,0,0,,0,0,0,,,,0,1,,0,0,1,0,0,24,24,5/10/22 8:41,0,200
17,ENGLISH MONOLINGUALS: Interactions of first and second language (SOTOGARCIA-0122),,,,IMPORTANT: You have to be a native English speaker who speaks no other languages. No participant will be allowed to attend the session in the lab unless they have completed the online questionnaire.,60,,0,M,1,1,1,1,0,1,1,0,0,,0,0,0,,ETH2021-2041,,0,1,,0,0,1,0,0,24,24,5/16/22 13:39,0,200
